Year,Month,Date,Brood,Male,Female,,,
2018,11,15,A,0,2,,,
2018,11,15,B,1,2,,,
2018,11,18,NA,5,5,,,
2018,11,19,A,1,2,,,
2018,11,19,B,2,0,,,
2018,11,23,NA,3,1,,,
2018,11,25,NA,1,2,,,
2018,11,27,NA,2,2,,,
2018,11,29,A,1,1,,,
2018,11,29,B,0,1,,,
2018,11,30,A,3,1,,,
2018,11,30,B,6,1,,,
2018,12,2,NA,2,3,,,
2018,12,3,NA,1,2,,,
2018,12,9,NA,3,4,,,
2018,12,10,NA,3,4,,,
2018,12,12,NA,3,1,,,
2018,12,13,NA,0,2,,,
2018,12,15,NA,2,2,,,
2018,12,16,A,1,1,,,
2018,12,16,B,1,4,,,
2018,12,18,NA,0,1,,,
2018,12,21,A,3,4,,,
2018,12,21,B,6,3,,,
2018,12,23,NA,4,4,,,
2018,12,24,NA,0,1,,,
2018,12,25,NA,0,1,,,
2018,12,27,NA,1,2,,,
2018,12,29,NA,4,0,,,
2018,12,31,NA,2,0,,,
2019,1,1,NA,3,3,,,
2019,1,4,NA,4,1,,,
2019,1,5,NA,5,2,,,
2019,1,7,NA,4,4,,,
2019,1,9,NA,0,4,,,
2019,1,10,NA,1,3,,,
2019,1,12,NA,2,2,,,
2019,1,14,A,4,3,,,
2019,1,14,B,2,3,,,
2019,1,15,NA,1,0,,,
2019,1,17,NA,0,2,,,
2019,1,18,A,1,0,,,
2019,1,18,B,2,5,,,
2019,1,19,A,2,4,,,
2019,1,19,B,2,2,,,
2019,1,22,A,2,6,,,
2019,1,22,B,0,1,,,
2019,1,22,C,4,0,,,
2019,1,22,D,1,0,,,
2019,1,25,NA,1,3,,,
2019,1,27,A,0,2,,,
2019,1,27,B,4,0,,,
2019,1,28,NA,2,0,,,
2019,1,29,NA,2,5,,,
2019,2,1,NA,4,3,,,
2019,2,8,NA,3,3,,,
2019,2,9,A,4,3,,,
2019,2,9,B,1,0,,,
2019,2,12,A,8,1,,,
2019,2,12,B,1,0,,,
2019,2,12,C,0,2,,,
2019,2,13,NA,1,10,,,
2019,2,16,NA,1,3,,,
2019,2,18,A,1,2,,,
2019,2,18,B,2,2,,,
2019,2,19,NA,3,2,,,
2019,2,21,NA,3,3,,,
2019,2,26,A,2,2,,,
2019,2,26,B,1,1,,,
2019,2,28,NA,1,0,,,
2019,3,10,NA,7,4,,,
2019,3,12,NA,0,1,,,
2019,3,15,NA,2,2,,,
2019,3,21,A,2,0,,,
2019,3,21,B,2,1,,,
2019,3,24,NA,1,3,,,
2019,3,25,NA,0,3,,,
2019,3,26,A,5,5,,,
2019,3,26,B,0,1,,,
2019,4,2,NA,1,4,,,
2019,4,6,A,3,2,,,
2019,4,6,B,6,6,,,
2019,4,7,NA,2,2,,,
2019,4,8,NA,3,4,,,
2019,4,11,NA,0,2,,,
2019,4,12,A,3,3,,,
2019,4,12,B,5,0,,,
2019,4,14,NA,5,4,,,
2019,4,15,NA,0,3,,,
2019,4,18,NA,2,3,,,
2019,4,19,NA,5,4,,,
2019,4,22,NA,2,1,,,
2019,4,25,NA,2,3,,,
2019,4,26,A,1,2,,,
2019,4,26,B,2,1,,,
2019,4,26,C,3,3,,,
2019,4,28,NA,2,4,,,
2019,4,30,NA,4,2,,,
2019,5,1,NA,1,3,,,
2019,5,6,NA,3,4,,,
2019,5,8,NA,4,1,,,
2019,5,9,NA,3,1,,,
2019,5,10,A,3,4,,,
2019,5,10,B,7,4,,,
2019,5,13,A,3,3,,,
2019,5,13,B,2,1,,,
2019,5,13,C,2,1,,,
2019,5,13,D,4,1,,,
2019,5,16,NA,2,2,,,
2019,5,17,NA,3,7,,,
2019,5,19,NA,3,2,,,
2019,5,22,NA,0,2,,,
2019,5,26,A,5,5,,,
2019,5,26,B,4,4,,,
2019,5,26,C,2,2,,,
2019,5,27,NA,3,6,,,
2019,5,28,NA,2,2,,,
2019,5,29,A,1,1,,,
2019,5,29,B,8,4,,,
2019,5,30,NA,5,1,,,
2019,5,31,A,1,4,,,
2019,5,31,B,5,2,,,
2019,6,3,NA,2,2,,,
2019,6,4,A,0,1,,,
2019,6,4,B,2,2,,,
2019,6,4,C,2,1,,,
2019,6,5,NA,2,1,,,
2019,6,6,NA,2,2,,,
2019,6,8,NA,5,5,,,
2019,6,10,NA,1,0,,,
2019,6,12,NA,0,2,,,
2019,6,14,NA,2,1,,,
2019,6,17,NA,2,1,,,
2019,6,19,NA,2,4,,,
2019,6,22,NA,1,2,,,
2019,6,24,NA,2,2,,,
2019,6,29,NA,6,3,,,
2019,7,1,NA,2,2,,,
2019,7,2,NA,2,2,,,
2019,7,3,A,3,2,,,
2019,7,3,B,0,3,,,
2019,7,6,NA,1,5,,,
2019,7,8,NA,1,1,,,
2019,7,9,NA,1,5,,,
2019,7,12,NA,2,1,,,
2019,7,13,NA,8,2,,,
2019,7,14,NA,5,3,,,
2019,7,15,NA,3,1,,,
2019,7,19,NA,0,4,,,
2019,7,20,NA,5,2,,,
2019,7,25,NA,2,2,,,
2019,7,26,NA,3,1,,,
2019,7,27,NA,0,1,,,
2019,7,30,NA,2,0,,,
2019,7,21,NA,0,4,,,
2019,8,2,NA,3,1,,,
2019,8,4,NA,1,0,,,
2019,8,6,NA,1,1,,,
2019,8,8,NA,0,3,,,
